"X","Unnamed..0","Name","Artist","Section","Progression","EndDifferent","NumSectionChords","nonDiatonicChords","extendedChords"
1,1,"Blank Space","Taylor Swift","Chorus","I-vi-ii-IV-I-vi-ii-IV-I","",4,0,0
2,2,"Blank Space","Taylor Swift","Bridge","I","",1,0,0
0,0,"Right Back","Khalid","Intro","I-IV-III-vi","III-VIb-vi",7,3,2
1,1,"Right Back","Khalid","Verse ","I-IV-III-vi","III-VIb-vi",7,3,2
2,2,"Right Back","Khalid","Chorus","I-IV-III-vi","III-VIb-vi",7,3,2
3,3,"Right Back","Khalid","Bridge","IV-I","vi",7,0,0
0,0,"White Horse","Taylor Swift","Intro","V-I-iii-I","",3,0,0
1,1,"White Horse","Taylor Swift","Verse ","V-I-iii-I","II",5,1,3
2,2,"White Horse","Taylor Swift","Chorus","V-iii-I-II","I-V",4,1,0
3,3,"White Horse","Taylor Swift","Bridge","iii-II-I-V-II-I-V-II-I-IV","",5,3,0
4,4,"White Horse","Taylor Swift","Outro","I-iii-I-V","I",3,0,0
0,0,"She will be Loved","Maroon 5","Intro","vii-VI","",2,2,0
1,1,"She will be Loved","Maroon 5","Verse","vii-VI","",2,2,0
2,2,"She will be Loved","Maroon 5","Chorus","II-VI-vii-V","",4,3,0
3,3,"She will be Loved","Maroon 5","Outro","vii-VI","V",3,2,0
0,0,"That Should be Me","Justin Bieber","Intro","vi-IV-I-III-vi-IV-I","",5,1,2
1,1,"That Should be Me","Justin Bieber","Verse ","vi-IV-I-III","ii-IV",6,1,1
2,2,"That Should be Me","Justin Bieber","Chorus","I-IV-iv-I-IV-ii-vi-IV-I-III","",8,2,7
3,3,"That Should be Me","Justin Bieber","Bridge","V#-VIIb","V#",6,3,1
0,0,"you Need to Calm Down","Taylor Swift","Intro","I","IV",2,0,0
1,1,"you Need to Calm Down","Taylor Swift","Verse ","I","IV",2,0,0
2,2,"you Need to Calm Down","Taylor Swift","Pre-Chorus ","I","V",3,0,0
3,3,"you Need to Calm Down","Taylor Swift","Chorus","I","",2,0,0
4,4,"you Need to Calm Down","Taylor Swift","Bridge","I-IV","",2,0,0
